,start station name,counts
0,1 Ave & E 110 St,2888
1,1 Ave & E 16 St,17265
2,1 Ave & E 18 St,12003
3,1 Ave & E 30 St,9545
4,1 Ave & E 44 St,6882
5,1 Ave & E 62 St,9324
6,1 Ave & E 68 St,14547
7,1 Ave & E 78 St,9471
8,1 Ave & E 94 St,3581
9,1 Pl & Clinton St,2006
10,10 Hudson Yards,1049
11,10 St & 5 Ave,1546
12,10 St & 7 Ave,2419
13,11 Ave & W 27 St,12411
14,11 Ave & W 41 St,10882
15,11 Ave & W 59 St,11061
16,11 St & 35 Ave,268
17,11 St & 43 Ave,427
18,12 Ave & W 40 St,16085
19,12 St & 4 Ave,1050
20,14 St & 5 Ave,2559
21,14 St & 7 Ave,2542
22,19 St & 24 Ave,911
23,2 Ave & 36 St - Citi Bike HQ at Industry City,1528
24,2 Ave & 9 St,948
25,2 Ave & E 104 St,2735
26,2 Ave & E 122 St,1120
27,2 Ave & E 31 St,12128
28,2 Ave & E 55 St,3921
29,2 Ave & E 96 St,5989
30,2 Ave & E 99 St,1796
31,21 St & 31 Dr,1353
32,21 St & 36 Ave,314
33,21 St & 38 Ave,361
34,21 St & 43 Ave,648
35,21 St & Hoyt Ave S,458
36,21 St & Queens Plaza North,1806
37,23 Ave & 27 St,526
38,24 Ave & 26 St,983
39,24 Ave & 29 St,883
40,24 St & 41 Ave,1350
41,27 Ave & 4 St,313
42,27 Ave & 9 St,412
43,27 St & Hunter St,1383
44,28 Ave & 35 St,862
45,28 Ave & 44 St,906
46,28 St & 36 Ave,816
47,28 St & 38 Ave,1255
48,28 St & 40 Ave,36
49,28 St & 41 Ave,2591
50,3 Ave & 14 St,1527
51,3 Ave & E 100 St,993
52,3 Ave & E 112 St,912
53,3 Ave & E 62 St,4925
54,3 Ave & E 71 St,2129
55,3 Ave & E 72 St,2710
56,3 Ave & E 95 St,2073
57,3 Ave & Schermerhorn St,3616
58,3 St & 3 Ave,3210
59,3 St & 7 Ave,3537
60,3 St & Hoyt St,1443
61,3 St & Prospect Park West,4279
62,30 Ave & 21 St,467
63,31 Ave & 14 St,784
64,31 Ave & 30 St,1156
65,31 Ave & 34 St,1544
66,31 Ave & Crescent St,1275
67,31 Ave & Steinway St,1343
68,31 St & 23 Ave,3180
69,31 St & 35 Ave,1386
70,31 St & Astoria Blvd,1689
71,31 St & Broadway,1964
72,31 St & Hoyt Ave N,1402
73,31 St & Newtown Ave,238
74,31 St & Northern Blvd,758
75,31 St & Thomson Ave,1059
76,32 St & 30 Ave,2429
77,34 Ave & 13 St,412
78,34 Ave & 21 St,968
79,34 Ave & 38 St,2475
80,34 St & 35 Ave,1014
81,35 Ave & 10 St,696
82,35 Ave & 37 St,1237
83,35 St & 34 Ave,861
84,35 St & Broadway,1287
85,36 Ave & 10 St,621
86,37 Ave & 35 St,771
87,37 St & 24 Ave,759
88,39 St & 2 Ave - Citi Bike HQ at Industry City,507
89,4 Ave & 2 St,1358
90,4 Ave & 9 St,2256
91,40 Ave & 9 St,499
92,40 Ave & Crescent St,107
93,43 St & Broadway,1347
94,44 Dr & 21 St,2556
95,44 Dr & Jackson Ave,3170
96,45 Rd & 11 St,2583
97,46 Ave & 5 St,3846
98,47 Ave & 31 St,925
99,47 Ave & Skillman Ave,169
100,48 Ave & 30 Pl,541
101,48 Ave & 5 St,999
102,49 Ave & 21 St,1072
103,5 Ave & 3 St,3837
104,5 Ave & E 103 St,4607
105,5 Ave & E 126 St,974
106,5 Ave & E 29 St,4149
107,5 Ave & E 63 St,4748
108,5 Ave & E 73 St,9155
109,5 Ave & E 78 St,7901
110,5 Ave & E 88 St,9488
111,5 Ave & E 93 St,3308
112,5 St & 51 Ave,948
113,5 St & 6 Ave,1612
114,5 St & Market St,871
115,6 Ave & 12 St,1777
116,6 Ave & 9 St,2933
117,6 Ave & Canal St,8987
118,6 Ave & Spring St,9777
119,6 Ave & W 33 St,17587
120,6 St & 7 Ave,1915
121,7 St & 3 Ave,1500
122,7 St & 5 Ave,1863
123,8 Ave & W 31 St,23269
124,8 Ave & W 33 St,22432
125,8 Ave & W 52 St,10679
126,9 Ave & W 22 St,13826
127,9 Ave & W 28 St,8468
128,9 Ave & W 45 St,13446
129,9 St & 44 Rd,756
130,Adam Clayton Powell Blvd & W 115 St,1309
131,Adam Clayton Powell Blvd & W 118 St,1537
132,Adam Clayton Powell Blvd & W 123 St,1770
133,Adam Clayton Powell Blvd & W 126 St,1586
134,Adelphi St & Myrtle Ave,4477
135,Albany Ave & Fulton St,577
136,Allen St & Hester St,10341
137,Allen St & Rivington St,11171
138,Allen St & Stanton St,13334
139,Amsterdam Ave & W 119 St,2166
140,Amsterdam Ave & W 125 St,1484
141,Amsterdam Ave & W 66 St,4073
142,Amsterdam Ave & W 73 St,12289
143,Amsterdam Ave & W 79 St,6529
144,Amsterdam Ave & W 82 St,6788
145,Astoria Park S & Shore Blvd,891
146,Atlantic Ave & Fort Greene Pl,658
147,Atlantic Ave & Furman St,3707
148,Avenue D & E 12 St,3933
149,Avenue D & E 3 St,6164
150,Avenue D & E 8 St,4345
151,Baltic St & 5 Ave,3714
152,Bank St & Hudson St,7642
153,Bank St & Washington St,7184
154,Banker St & Meserole Ave,3424
155,Barclay St & Church St,10122
156,Barrow St & Hudson St,14985
157,Bayard St & Baxter St,8446
158,Bayard St & Leonard St,1970
159,Bedford Ave & Bergen St,2200
160,Bedford Ave & Nassau Ave,5420
161,Bedford Ave & S 9 St,1127
162,Bergen St & Flatbush Ave,3734
163,Bergen St & Smith St,8861
164,Bergen St & Vanderbilt Ave,3262
165,Berkeley Pl & 6 Ave,2201
166,Berkeley Pl & 7 Ave,4380
167,Berry St & N 8 St,5887
168,Bialystoker Pl & Delancey St,4361
169,Boerum St & Broadway,1547
170,Bond St & Bergen St,3236
171,Bond St & Fulton St,5268
172,Bressler,27
173,Broad St & Bridge St,3625
174,Broadway & 12 St,879
175,Broadway & Battery Pl,9253
176,Broadway & Berry St,4888
177,Broadway & E 14 St,22336
178,Broadway & E 22 St,25206
179,Broadway & Moylan Pl,2667
180,Broadway & Roebling St,4298
181,Broadway & W 122 St,1277
182,Broadway & W 25 St,18972
183,Broadway & W 29 St,17134
184,Broadway & W 32 St,13282
185,Broadway & W 36 St,9180
186,Broadway & W 37 St,6134
187,Broadway & W 38 St,9261
188,Broadway & W 41 St,15597
189,Broadway & W 49 St,14952
190,Broadway & W 51 St,9005
191,Broadway & W 53 St,8898
192,Broadway & W 56 St,15893
193,Broadway & W 58 St,5943
194,Broadway & W 60 St,20449
195,Broadway & Whipple St,1926
196,Bus Slip & State St,4911
197,Bushwick Ave & Powers St,2470
198,Butler St & Court St,2271
199,Cadman Plaza E & Red Cross Pl,5190
200,Cadman Plaza E & Tillary St,2181
201,Cadman Plaza West & Montague St,5503
202,Cambridge Pl & Gates Ave,1879
203,Canal St & Rutgers St,12274
204,Carlton Ave & Dean St,2302
205,Carlton Ave & Flushing Ave,2548
206,Carlton Ave & Park Ave,2085
207,Carmine St & 6 Ave,18167
208,Carroll St & 5 Ave,3039
209,Carroll St & 6 Ave,3343
210,Carroll St & Bond St,2737
211,Carroll St & Columbia St,2507
212,Carroll St & Franklin Ave,460
213,Carroll St & Smith St,4780
214,Carroll St & Washington Ave,525
215,Cathedral Pkwy & Broadway,4376
216,Catherine St & Monroe St,5854
217,Center Blvd & 48 Ave,1795
218,Center Blvd & Borden Ave,770
219,Central Park North & Adam Clayton Powell Blvd,6323
220,Central Park S & 6 Ave,15505
221,Central Park W & W 96 St,9543
222,Central Park West & W 100 St,4511
223,Central Park West & W 102 St,2995
224,Central Park West & W 68 St,6850
225,Central Park West & W 72 St,8887
226,Central Park West & W 76 St,5682
227,Central Park West & W 85 St,8060
228,Centre St & Chambers St,14279
229,Centre St & Worth St,5176
230,Cherry St,3898
231,Christopher St & Greenwich St,17263
232,Clark St & Henry St,7473
233,Classon Ave & St Marks Ave,2487
234,Clermont Ave & Lafayette Ave,2484
235,Clermont Ave & Park Ave,2098
236,Cleveland Pl & Spring St,17287
237,Cliff St & Fulton St,6972
238,Clinton Ave & Flushing Ave,1970
239,Clinton Ave & Myrtle Ave,5369
240,Clinton St & 4 Place,2515
241,Clinton St & Centre St,635
242,Clinton St & Grand St,10120
243,Clinton St & Joralemon St,5739
244,Clinton St & Tillary St,2268
245,Clinton St & Union St,2556
246,Coffey St & Conover St,1046
247,Columbia Heights & Cranberry St,1519
248,Columbia St & Degraw St,2422
249,Columbia St & Kane St,1831
250,Columbia St & Lorraine St,215
251,Columbia St & Rivington St,5121
252,Columbia St & W 9 St,570
253,Columbus Ave & W 103 St,1731
254,Columbus Ave & W 72 St,16878
255,Columbus Ave & W 95 St,2211
256,Commerce St & Van Brunt St,804
257,Concord St & Bridge St,1775
258,Congress St & Clinton St,3802
259,Cooper Square & Astor Pl,17886
260,Court St & Nelson St,1138
261,Court St & State St,6156
262,Crescent St & 30 Ave,987
